The following Inweb resources are available for any web or colony to use:
name           | resource type | source    
-------------- | ------------- | ----------
ACME           | Language      | (built in)
Blurb          | Language      | (built in)
BoxArt         | Language      | (built in)
C              | Language      | (built in)
C++            | Language      | (built in)
ConsoleText    | Language      | (built in)
Delia          | Language      | (built in)
Extracts       | Language      | (built in)
ILDF           | Language      | (built in)
InC            | Language      | (built in)
Indoc          | Language      | (built in)
Inform 6       | Language      | (built in)
Inform 7       | Language      | (built in)
Inter          | Language      | (built in)
Inter Pipeline | Language      | (built in)
Inweb          | Language      | (built in)
None           | Language      | (built in)
PainterOutput  | Language      | (built in)
Pascal         | Language      | (built in)
Perl           | Language      | (built in)
Plain Text     | Language      | (built in)
Preform        | Language      | (built in)
Python         | Language      | (built in)
REPL           | Language      | (built in)
InwebClassic   | Notation      | (built in)
Markdown       | Notation      | (built in)
MarkdownCode   | Notation      | (built in)
Ebook          | Pattern       | (built in)
GitHubPages    | Pattern       | (built in)
HTML           | Pattern       | (built in)
PDFTeX         | Pattern       | (built in)
Plain          | Pattern       | (built in)
TestingInweb   | Pattern       | (built in)
TeX            | Pattern       | (built in)
